gameId,levelId,playerId,color,levelWord,wordState,scoreSystem,score,numberOfGives,numberOfTakes
CEQJYYVKXGQMFHLCWLZR,1,,"RGBA(1.000, 1.000, 1.000, 1.000)",EPIC,EPI ,scoreSystemConfigNeutral,0,0,4
CEQJYYVKXGQMFHLCWLZR,1,,"RGBA(0.200, 0.200, 0.200, 1.000)",LIFE,LIFE,scoreSystemConfigNeutral,0,0,4
OPSQOLUQVBXIMPXAHWST,1,122,"RGBA(1.000, 1.000, 1.000, 1.000)",IMPS,IM  ,scoreSystemConfigNeutral,0,1,3
OPSQOLUQVBXIMPXAHWST,1,121,"RGBA(0.200, 0.200, 0.200, 1.000)",MICE,MICE,scoreSystemConfigNeutral,0,0,4
OPSQOLUQVBXIMPXAHWST,2,122,"RGBA(1.000, 1.000, 1.000, 1.000)",JOHN," OHN",scoreSystemConfigNeutral,0,0,3
OPSQOLUQVBXIMPXAHWST,2,121,"RGBA(0.200, 0.200, 0.200, 1.000)",JEAN,JEAN,scoreSystemConfigNeutral,0,0,4
OPSQOLUQVBXIMPXAHWST,3,122,"RGBA(1.000, 1.000, 1.000, 1.000)",GOLF,G LF,scoreSystemConfigNeutral,0,0,4
OPSQOLUQVBXIMPXAHWST,3,121,"RGBA(0.200, 0.200, 0.200, 1.000)",HALF," ALF",scoreSystemConfigNeutral,0,1,3
OPSQOLUQVBXIMPXAHWST,4,122,"RGBA(1.000, 1.000, 1.000, 1.000)",GAWK,GAWK,scoreSystemConfigNeutral,0,0,4
OPSQOLUQVBXIMPXAHWST,4,121,"RGBA(0.200, 0.200, 0.200, 1.000)",KNOW,"  OW",scoreSystemConfigNeutral,0,0,4
UXKYIBBAJRMFKORKJEUP,1,,"RGBA(1.000, 1.000, 1.000, 1.000)",PUMP,PU  ,scoreSystemConfigComp,5,1,3
UXKYIBBAJRMFKORKJEUP,1,,"RGBA(0.200, 0.200, 0.200, 1.000)",JIMP,JIMP,scoreSystemConfigComp,5,1,3
UXKYIBBAJRMFKORKJEUP,2,,"RGBA(0.200, 0.200, 0.200, 1.000)",FLEW,FLEW,scoreSystemConfigComp,20,1,3
UXKYIBBAJRMFKORKJEUP,2,,"RGBA(1.000, 1.000, 1.000, 1.000)",BLOW,BLOW,scoreSystemConfigComp,10,1,3
UXKYIBBAJRMFKORKJEUP,3,,"RGBA(0.200, 0.200, 0.200, 1.000)",WOLF,WOLF,scoreSystemConfigComp,35,1,3
UXKYIBBAJRMFKORKJEUP,3,,"RGBA(1.000, 1.000, 1.000, 1.000)",VOWS,VO S,scoreSystemConfigComp,15,1,3
UXKYIBBAJRMFKORKJEUP,4,,"RGBA(1.000, 1.000, 1.000, 1.000)",DAMB,DAMB,scoreSystemConfigComp,25,0,4
UXKYIBBAJRMFKORKJEUP,4,,"RGBA(0.200, 0.200, 0.200, 1.000)",LAMB,LA  ,scoreSystemConfigComp,40,2,2
UXKYIBBAJRMFKORKJEUP,5,,"RGBA(1.000, 1.000, 1.000, 1.000)",BUZZ,BU  ,scoreSystemConfigComp,25,2,2
