gameId,levelId,playerId,color,levelWord,wordState,scoreSystem,score,numberOfGives,numberOfTakes
DJXLVUMBVBQJTMHCRZZO,1,1,"RGBA(0.200, 0.200, 0.200, 1.000)",RACK,RA  ,scoreSystemConfigNeutral,0,0,4
DJXLVUMBVBQJTMHCRZZO,1,2,"RGBA(1.000, 1.000, 1.000, 1.000)",PORK,PO  ,scoreSystemConfigNeutral,0,2,2
DJXLVUMBVBQJTMHCRZZO,2,2,"RGBA(1.000, 1.000, 1.000, 1.000)",CHIP,"   P",scoreSystemConfigNeutral,0,0,4
DJXLVUMBVBQJTMHCRZZO,2,1,"RGBA(0.200, 0.200, 0.200, 1.000)",COPY," O Y",scoreSystemConfigNeutral,0,0,4
DJXLVUMBVBQJTMHCRZZO,3,1,"RGBA(0.200, 0.200, 0.200, 1.000)",NAVY,"  V ",scoreSystemConfigNeutral,0,1,3
DJXLVUMBVBQJTMHCRZZO,3,2,"RGBA(1.000, 1.000, 1.000, 1.000)",BABY,BA  ,scoreSystemConfigNeutral,0,0,4
YIBHJCRFAPEQTQVRXOLY,1,,"RGBA(0.200, 0.200, 0.200, 1.000)",COUP,CO P,scoreSystemConfigComp,15,0,4
YIBHJCRFAPEQTQVRXOLY,1,,"RGBA(1.000, 1.000, 1.000, 1.000)",CORK,CORK,scoreSystemConfigComp,5,0,4
YIBHJCRFAPEQTQVRXOLY,2,,"RGBA(1.000, 1.000, 1.000, 1.000)",SKIP,SKIP,scoreSystemConfigComp,15,1,3
YIBHJCRFAPEQTQVRXOLY,2,,"RGBA(0.200, 0.200, 0.200, 1.000)",COPS,COPS,scoreSystemConfigComp,30,1,3
YIBHJCRFAPEQTQVRXOLY,3,,"RGBA(1.000, 1.000, 1.000, 1.000)",CAKE,C KE,scoreSystemConfigComp,20,1,3
YIBHJCRFAPEQTQVRXOLY,3,,"RGBA(0.200, 0.200, 0.200, 1.000)",CLAM,CLAM,scoreSystemConfigComp,40,1,3
KGSAAKKJTFHEQCGJJRFD,1,,"RGBA(0.200, 0.200, 0.200, 1.000)",FACE,FACE,scoreSystemConfigIndividualistic,40,0,4
KGSAAKKJTFHEQCGJJRFD,1,,"RGBA(1.000, 1.000, 1.000, 1.000)",CYAN,CYAN,scoreSystemConfigIndividualistic,40,0,4
KGSAAKKJTFHEQCGJJRFD,2,,"RGBA(0.200, 0.200, 0.200, 1.000)",COPY,COP ,scoreSystemConfigIndividualistic,50,1,3
KGSAAKKJTFHEQCGJJRFD,2,,"RGBA(1.000, 1.000, 1.000, 1.000)",CHIP,CH P,scoreSystemConfigIndividualistic,60,2,2
KGSAAKKJTFHEQCGJJRFD,3,,"RGBA(0.200, 0.200, 0.200, 1.000)",DUCK,DUCK,scoreSystemConfigIndividualistic,80,1,3
KGSAAKKJTFHEQCGJJRFD,3,,"RGBA(1.000, 1.000, 1.000, 1.000)",PECK,P CK,scoreSystemConfigIndividualistic,80,1,2
OSPQMNWZOFRBTQPPMTXH,1,,"RGBA(1.000, 1.000, 1.000, 1.000)",ONYX,O YX,scoreSystemConfigMutualHelp,40,4,0
OSPQMNWZOFRBTQPPMTXH,1,,"RGBA(0.200, 0.200, 0.200, 1.000)",HOAX,HOAX,scoreSystemConfigMutualHelp,30,4,0
OSPQMNWZOFRBTQPPMTXH,2,,"RGBA(1.000, 1.000, 1.000, 1.000)",ZERO,ZERO,scoreSystemConfigMutualHelp,80,0,4
