gameId,levelId,playerId,color,levelWord,wordState,scoreSystem,score,numberOfGives,numberOfTakes
YEKPNTBQKFLLXZQSAUGD,1,84,"RGBA(0.200, 0.200, 0.200, 1.000)",WACK,"    ",scoreSystemConfigNeutral,0,2,2
YEKPNTBQKFLLXZQSAUGD,1,118,"RGBA(1.000, 1.000, 1.000, 1.000)",JAWS,"    ",scoreSystemConfigNeutral,0,1,3
YEKPNTBQKFLLXZQSAUGD,2,118,"RGBA(1.000, 1.000, 1.000, 1.000)",PING,"    ",scoreSystemConfigNeutral,0,0,4
YEKPNTBQKFLLXZQSAUGD,2,84,"RGBA(0.200, 0.200, 0.200, 1.000)",BIND,"    ",scoreSystemConfigNeutral,0,0,4
YEKPNTBQKFLLXZQSAUGD,3,84,"RGBA(0.200, 0.200, 0.200, 1.000)",LUCK,"    ",scoreSystemConfigNeutral,0,0,4
YEKPNTBQKFLLXZQSAUGD,3,118,"RGBA(1.000, 1.000, 1.000, 1.000)",PICK,"    ",scoreSystemConfigNeutral,0,1,3
YEKPNTBQKFLLXZQSAUGD,4,84,"RGBA(0.200, 0.200, 0.200, 1.000)",SAND,"    ",scoreSystemConfigNeutral,0,0,4
YEKPNTBQKFLLXZQSAUGD,4,118,"RGBA(1.000, 1.000, 1.000, 1.000)",SCAM,"    ",scoreSystemConfigNeutral,0,1,3
YEKPNTBQKFLLXZQSAUGD,5,84,"RGBA(0.200, 0.200, 0.200, 1.000)",WORK,"    ",scoreSystemConfigNeutral,0,2,2
YEKPNTBQKFLLXZQSAUGD,5,118,"RGBA(1.000, 1.000, 1.000, 1.000)",WEAK,"    ",scoreSystemConfigNeutral,0,1,3
VKQSMWYLCGXBMIVZFCSH,1,118,"RGBA(1.000, 1.000, 1.000, 1.000)",ZERO,"    ",scoreSystemConfigComp,15,1,3
VKQSMWYLCGXBMIVZFCSH,1,84,"RGBA(0.200, 0.200, 0.200, 1.000)",COKE,"    ",scoreSystemConfigComp,-5,1,3
VKQSMWYLCGXBMIVZFCSH,2,84,"RGBA(0.200, 0.200, 0.200, 1.000)",CLAM,"    ",scoreSystemConfigComp,10,0,4
VKQSMWYLCGXBMIVZFCSH,2,118,"RGBA(1.000, 1.000, 1.000, 1.000)",CAKE,"    ",scoreSystemConfigComp,30,0,4
VKQSMWYLCGXBMIVZFCSH,3,84,"RGBA(0.200, 0.200, 0.200, 1.000)",NECK,"    ",scoreSystemConfigComp,25,0,4
VKQSMWYLCGXBMIVZFCSH,3,118,"RGBA(1.000, 1.000, 1.000, 1.000)",LICK,"    ",scoreSystemConfigComp,40,0,4
VKQSMWYLCGXBMIVZFCSH,4,118,"RGBA(1.000, 1.000, 1.000, 1.000)",ONYX,"    ",scoreSystemConfigComp,45,0,4
VKQSMWYLCGXBMIVZFCSH,4,84,"RGBA(0.200, 0.200, 0.200, 1.000)",HOAX,"    ",scoreSystemConfigComp,45,0,4
VKQSMWYLCGXBMIVZFCSH,5,84,"RGBA(0.200, 0.200, 0.200, 1.000)",FICE,"    ",scoreSystemConfigComp,55,0,4
VKQSMWYLCGXBMIVZFCSH,5,118,"RGBA(1.000, 1.000, 1.000, 1.000)",FAME,"    ",scoreSystemConfigComp,65,0,4
VKQSMWYLCGXBMIVZFCSH,6,84,"RGBA(0.200, 0.200, 0.200, 1.000)",MILK,"    ",scoreSystemConfigComp,75,0,4
VKQSMWYLCGXBMIVZFCSH,6,118,"RGBA(1.000, 1.000, 1.000, 1.000)",LOCK,"    ",scoreSystemConfigComp,75,0,4
VKQSMWYLCGXBMIVZFCSH,7,84,"RGBA(0.200, 0.200, 0.200, 1.000)",MILK,MILK,scoreSystemConfigComp,90,0,4
VKQSMWYLCGXBMIVZFCSH,7,118,"RGBA(1.000, 1.000, 1.000, 1.000)",LOCK,LOCK,scoreSystemConfigComp,90,0,4
VDQRUAWYHBPKDEZRTICN,1,84,"RGBA(0.200, 0.200, 0.200, 1.000)",VERB,"    ",scoreSystemConfigMutualHelp,40,1,3
VDQRUAWYHBPKDEZRTICN,1,118,"RGBA(1.000, 1.000, 1.000, 1.000)",MOVE,"    ",scoreSystemConfigMutualHelp,40,1,3
VDQRUAWYHBPKDEZRTICN,2,84,"RGBA(0.200, 0.200, 0.200, 1.000)",AXIS,"    ",scoreSystemConfigMutualHelp,60,0,4
VDQRUAWYHBPKDEZRTICN,2,118,"RGBA(1.000, 1.000, 1.000, 1.000)",SEXY,"    ",scoreSystemConfigMutualHelp,80,1,3
VDQRUAWYHBPKDEZRTICN,3,84,"RGBA(0.200, 0.200, 0.200, 1.000)",POKE,"    ",scoreSystemConfigMutualHelp,90,1,3
VDQRUAWYHBPKDEZRTICN,3,118,"RGBA(1.000, 1.000, 1.000, 1.000)",EXPO,"    ",scoreSystemConfigMutualHelp,120,1,3
VDQRUAWYHBPKDEZRTICN,4,84,"RGBA(0.200, 0.200, 0.200, 1.000)",MYTH,"    ",scoreSystemConfigMutualHelp,130,0,4
VDQRUAWYHBPKDEZRTICN,4,118,"RGBA(1.000, 1.000, 1.000, 1.000)",HYPE,"    ",scoreSystemConfigMutualHelp,160,0,4
VDQRUAWYHBPKDEZRTICN,5,84,"RGBA(0.200, 0.200, 0.200, 1.000)",LACK,"    ",scoreSystemConfigMutualHelp,160,1,3
VDQRUAWYHBPKDEZRTICN,5,118,"RGBA(1.000, 1.000, 1.000, 1.000)",DECK,"    ",scoreSystemConfigMutualHelp,200,1,3
VDQRUAWYHBPKDEZRTICN,6,84,"RGBA(0.200, 0.200, 0.200, 1.000)",FILM,"    ",scoreSystemConfigMutualHelp,180,1,3
VDQRUAWYHBPKDEZRTICN,6,118,"RGBA(1.000, 1.000, 1.000, 1.000)",WHIM,"    ",scoreSystemConfigMutualHelp,240,1,3
VDQRUAWYHBPKDEZRTICN,7,84,"RGBA(0.200, 0.200, 0.200, 1.000)",FILM," ILM",scoreSystemConfigMutualHelp,210,1,3
VDQRUAWYHBPKDEZRTICN,7,118,"RGBA(1.000, 1.000, 1.000, 1.000)",WHIM,WHIM,scoreSystemConfigMutualHelp,280,1,3
FBNPXQOGENCUVMEUGFIR,1,84,"RGBA(0.200, 0.200, 0.200, 1.000)",FLOW,"    ",scoreSystemConfigIndividualistic,30,1,3
FBNPXQOGENCUVMEUGFIR,1,118,"RGBA(1.000, 1.000, 1.000, 1.000)",FLIP,"    ",scoreSystemConfigIndividualistic,30,1,3
FBNPXQOGENCUVMEUGFIR,2,84,"RGBA(0.200, 0.200, 0.200, 1.000)",BLEW,"    ",scoreSystemConfigIndividualistic,60,0,4
FBNPXQOGENCUVMEUGFIR,2,118,"RGBA(1.000, 1.000, 1.000, 1.000)",BEAK,"    ",scoreSystemConfigIndividualistic,60,0,4
FBNPXQOGENCUVMEUGFIR,3,84,"RGBA(0.200, 0.200, 0.200, 1.000)",CAFE,"    ",scoreSystemConfigIndividualistic,90,0,4
FBNPXQOGENCUVMEUGFIR,3,118,"RGBA(1.000, 1.000, 1.000, 1.000)",TACK,"    ",scoreSystemConfigIndividualistic,100,0,4
FBNPXQOGENCUVMEUGFIR,4,84,"RGBA(0.200, 0.200, 0.200, 1.000)",LAMB,"    ",scoreSystemConfigIndividualistic,130,0,4
FBNPXQOGENCUVMEUGFIR,4,118,"RGBA(1.000, 1.000, 1.000, 1.000)",DAMB,"    ",scoreSystemConfigIndividualistic,140,0,4
FBNPXQOGENCUVMEUGFIR,5,84,"RGBA(0.200, 0.200, 0.200, 1.000)",WIMP,"    ",scoreSystemConfigIndividualistic,170,0,4
FBNPXQOGENCUVMEUGFIR,5,118,"RGBA(1.000, 1.000, 1.000, 1.000)",CAMP,"    ",scoreSystemConfigIndividualistic,180,0,4
FBNPXQOGENCUVMEUGFIR,6,84,"RGBA(0.200, 0.200, 0.200, 1.000)",LUCK,"    ",scoreSystemConfigIndividualistic,210,0,4
FBNPXQOGENCUVMEUGFIR,6,118,"RGBA(1.000, 1.000, 1.000, 1.000)",PICK,"    ",scoreSystemConfigIndividualistic,220,0,4
FBNPXQOGENCUVMEUGFIR,7,84,"RGBA(0.200, 0.200, 0.200, 1.000)",LUCK,LUCK,scoreSystemConfigIndividualistic,250,0,4
FBNPXQOGENCUVMEUGFIR,7,118,"RGBA(1.000, 1.000, 1.000, 1.000)",PICK,PICK,scoreSystemConfigIndividualistic,260,0,4
DRSPGLMYHQYHPIPJGEEY,1,84,"RGBA(0.200, 0.200, 0.200, 1.000)",HULK,"    ",scoreSystemConfigPAltruistic,20,2,2
