playerId,N1,N2,N3,N4,N5,N6,E1,E2,E3,E4,E5,E6,O1,O2,O3,O4,O5,O6,A1,A2,A3,A4,A5,A6,C1,C2,C3,C4,C5,C6,N,E,O,A,C,Internal,PowerfulOthers,Chance,ScoreSystem,gives,takes,who,what
3,High,High,High,High,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,Low,Low,High,High,Low,High,High,High,High,Low,High,High,Low,Low,A,0.2857142857,3.714285714,1,4
3,High,High,High,High,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,Low,Low,High,High,Low,High,High,High,High,Low,High,High,Low,Low,B,0.7142857143000001,3.285714286,3,6
3,High,High,High,High,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,Low,Low,High,High,Low,High,High,High,High,Low,High,High,Low,Low,C,0.8571428570999999,3.142857143,2,3
3,High,High,High,High,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,Low,Low,High,High,Low,High,High,High,High,Low,High,High,Low,Low,D,3.571428571,0.42857142859999997,1,4
9,High,Low,High,High,Low,High,Low,Low,Low,High,Low,High,High,Low,High,Low,High,High,Low,High,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,Low,Low,A,0.42857142859999997,3.571428571,1,5
9,High,Low,High,High,Low,High,Low,Low,Low,High,Low,High,High,Low,High,Low,High,High,Low,High,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,Low,Low,B,0.5714285714,3.428571429,2,1
9,High,Low,High,High,Low,High,Low,Low,Low,High,Low,High,High,Low,High,Low,High,High,Low,High,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,Low,Low,C,0.8571428570999999,3.142857143,3,1
9,High,Low,High,High,Low,High,Low,Low,Low,High,Low,High,High,Low,High,Low,High,High,Low,High,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,Low,Low,D,3.714285714,0.2857142857,7,1
17,High,Low,High,Low,High,High,High,High,Low,Low,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,High,Low,High,High,High,Low,High,Low,Low,A,0.14285714289999998,3.857142857,1,7
17,High,Low,High,Low,High,High,High,High,Low,Low,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,High,Low,High,High,High,Low,High,Low,Low,B,0.2857142857,3.714285714,1,5
17,High,Low,High,Low,High,High,High,High,Low,Low,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,High,Low,High,High,High,Low,High,Low,Low,C,1.142857143,2.857142857,4,6
17,High,Low,High,Low,High,High,High,High,Low,Low,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,High,Low,High,High,High,Low,High,Low,Low,D,3.857142857,0.14285714289999998,7,3
18,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low,High,Low,Low,A,0.7142857143000001,3.285714286,2,7
18,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low,High,Low,Low,B,1.714285714,2.285714286,6,6
18,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low,High,Low,Low,C,1.285714286,2.714285714,4,6
18,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low,High,Low,Low,D,3.285714286,0.7142857143000001,4,5
24,High,Low,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,High,High,High,Low,Low,A,0.2857142857,3.714285714,3,7
24,High,Low,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,High,High,High,Low,Low,B,0.14285714289999998,3.857142857,1,4
24,High,Low,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,High,High,High,Low,Low,C,1.285714286,2.714285714,1,4
24,High,Low,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,High,High,High,Low,Low,D,3.428571429,0.5714285714,7,1
31,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,High,Low,Low,A,0.42857142859999997,3.571428571,1,6
31,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,High,Low,Low,B,0.42857142859999997,3.571428571,1,2
31,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,High,Low,Low,C,1.714285714,2.285714286,3,5
31,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,High,Low,Low,D,3.142857143,0.8571428570999999,1,4
33,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,Low,High,Low,High,High,Low,High,High,High,High,High,Low,Low,A,0.14285714289999998,3.857142857,1,7
33,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,Low,High,Low,High,High,Low,High,High,High,High,High,Low,Low,B,0.14285714289999998,3.857142857,5,2
33,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,Low,High,Low,High,High,Low,High,High,High,High,High,Low,Low,C,0.14285714289999998,3.857142857,6,4
33,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,Low,High,Low,High,High,Low,High,High,High,High,High,Low,Low,D,3.857142857,0.14285714289999998,7,1
34,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,Low,High,Low,High,Low,Low,High,Low,Low,Low,High,High,Low,Low,High,Low,High,High,Low,High,Low,High,A,0.5714285714,3.428571429,1,6
34,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,Low,High,Low,High,Low,Low,High,Low,Low,Low,High,High,Low,Low,High,Low,High,High,Low,High,Low,High,B,0.14285714289999998,3.857142857,1,5
34,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,Low,High,Low,High,Low,Low,High,Low,Low,Low,High,High,Low,Low,High,Low,High,High,Low,High,Low,High,C,0.2857142857,3.714285714,2,3
34,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,Low,High,Low,High,Low,Low,High,Low,Low,Low,High,High,Low,Low,High,Low,High,High,Low,High,Low,High,D,4.0,0.0,7,1
46,High,High,High,High,Low,Low,Low,Low,High,High,Low,High,Low,High,Low,Low,High,Low,Low,High,Low,Low,High,Low,High,High,High,High,High,High,Low,Low,High,Low,High,High,Low,Low,A,0.2857142857,3.714285714,1,7
46,High,High,High,High,Low,Low,Low,Low,High,High,Low,High,Low,High,Low,Low,High,Low,Low,High,Low,Low,High,Low,High,High,High,High,High,High,Low,Low,High,Low,High,High,Low,Low,B,0.8571428570999999,3.142857143,3,5
46,High,High,High,High,Low,Low,Low,Low,High,High,Low,High,Low,High,Low,Low,High,Low,Low,High,Low,Low,High,Low,High,High,High,High,High,High,Low,Low,High,Low,High,High,Low,Low,C,0.5714285714,3.428571429,2,5
46,High,High,High,High,Low,Low,Low,Low,High,High,Low,High,Low,High,Low,Low,High,Low,Low,High,Low,Low,High,Low,High,High,High,High,High,High,Low,Low,High,Low,High,High,Low,Low,D,3.857142857,0.14285714289999998,7,1
47,Low,High,High,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,High,Low,Low,High,Low,Low,Low,High,Low,High,Low,Low,High,Low,High,A,0.0,4.0,4,5
47,Low,High,High,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,High,Low,Low,High,Low,Low,Low,High,Low,High,Low,Low,High,Low,High,B,0.0,4.0,4,2
47,Low,High,High,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,High,Low,Low,High,Low,Low,Low,High,Low,High,Low,Low,High,Low,High,C,0.0,4.0,4,1
