playerId,N1,N2,N3,N4,N5,N6,E1,E2,E3,E4,E5,E6,O1,O2,O3,O4,O5,O6,A1,A2,A3,A4,A5,A6,C1,C2,C3,C4,C5,C6,N,E,O,A,C,Internal,PowerfulOthers,Chance,
3,High,High,Medium_High,High,Medium_High,Medium_High,High,Low,High,Low,High,High,Medium_High,High,High,High,High,High,High,Low,Medium_High,Medium_High,Medium_High,Medium_High,Medium_Low,Medium_Low,High,Medium_High,Low,High,High,Medium_High,High,Medium_Low,Medium_High,High,Low,Medium_Low,
9,High,Medium_Low,Medium_High,High,Low,High,Low,Medium_Low,Low,Medium_High,Low,High,High,Medium_Low,Medium_High,Low,Medium_High,High,Medium_Low,High,Medium_High,High,High,High,High,Medium_High,High,High,Low,High,Medium_High,Low,Medium_High,High,High,Medium_High,Medium_Low,Medium_Low,
17,Medium_Low,Medium_Low,High,Medium_Low,High,Medium_High,High,Medium_High,Medium_Low,Low,High,High,High,Low,High,Low,High,High,High,Medium_Low,Medium_Low,Medium_High,Medium_High,Medium_Low,Low,Medium_Low,Low,Low,Low,Medium_Low,Medium_Low,Medium_High,Medium_High,High,Medium_Low,Medium_High,Medium_Low,Medium_Low,
18,Medium_High,Medium_Low,High,High,High,High,Low,Medium_Low,Low,Low,Low,Low,Medium_High,Low,Low,Low,High,High,Medium_High,High,Medium_High,Medium_Low,High,Medium_Low,Low,Low,Low,Low,Low,Low,High,Low,Medium_Low,High,Low,Medium_High,Medium_Low,Medium_Low,
24,High,Low,High,High,High,High,High,Low,Medium_High,Medium_High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Medium_High,Medium_Low,High,Medium_High,High,High,High,Medium_High,Medium_High,Medium_Low,Medium_Low,
31,Medium_High,Medium_High,High,High,Medium_High,Medium_High,Low,Low,High,Low,High,Medium_High,High,Medium_High,High,Medium_High,High,High,Low,Low,Medium_Low,Low,High,Medium_Low,Medium_Low,Low,Low,Low,Low,Medium_Low,Medium_High,Medium_Low,High,Low,Low,Medium_High,Medium_Low,Medium_Low,
33,Low,Low,Low,Low,Low,Low,High,Low,High,Medium_Low,Low,High,Medium_High,Low,High,High,High,High,High,High,High,High,High,High,Medium_High,Low,High,Medium_Low,High,High,Low,Medium_High,High,High,High,High,Medium_Low,Low,
34,High,High,Medium_High,Medium_High,High,High,Low,Low,Low,Medium_High,Medium_High,Medium_High,High,Medium_High,High,High,Medium_Low,High,Low,High,Medium_Low,Medium_Low,High,Low,Medium_Low,Low,Medium_High,High,Low,Medium_Low,High,Low,High,Medium_High,Low,Medium_High,Medium_Low,Medium_High,
46,High,Medium_High,Medium_High,Medium_High,Low,Low,Low,Low,Medium_High,Medium_High,Low,Medium_High,Medium_Low,High,Medium_Low,Low,High,Medium_Low,Low,High,Low,Medium_Low,High,Low,High,High,High,Medium_High,High,High,Medium_Low,Low,Medium_High,Medium_Low,High,High,Medium_Low,Medium_Low,
47,Medium_Low,High,High,Medium_Low,Medium_High,Medium_High,Low,Medium_Low,Medium_Low,Low,Medium_Low,High,High,High,High,High,High,High,Medium_High,Medium_Low,Low,Low,Medium_Low,High,Low,Medium_Low,Medium_High,Low,Low,Medium_Low,Medium_High,Medium_Low,High,Medium_Low,Low,High,Medium_Low,Medium_High,
