playerId,N1,N2,N3,N4,N5,N6,E1,E2,E3,E4,E5,E6,O1,O2,O3,O4,O5,O6,A1,A2,A3,A4,A5,A6,C1,C2,C3,C4,C5,C6,N,E,O,A,C,Internal,PowerfulOthers,Chance,
3,High,High,Medium,High,Medium,Medium,High,Low,High,Low,High,High,Medium,High,High,High,High,High,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,High,High,Medium,High,Medium,Medium,High,Low,Medium,
9,High,Medium,Medium,High,Low,High,Low,Medium,Low,Medium,Low,High,High,Medium,Medium,Low,Medium,High,Medium,High,Medium,High,High,High,High,Medium,High,High,Low,High,Medium,Low,Medium,High,High,Medium,Medium,Medium,
17,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,High,High,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,
18,Medium,Medium,High,High,Medium,High,Low,Medium,Low,Low,Low,Low,Medium,Low,Low,Low,High,High,Medium,High,High,Medium,High,Medium,Low,Low,Medium,Low,Low,Low,High,Low,Medium,High,Low,Medium,Medium,Medium,
24,High,Low,High,High,Medium,High,High,Low,Medium,Medium,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Medium,Medium,High,Medium,High,High,High,Medium,Medium,Medium,Medium,
31,Medium,Medium,High,High,Medium,Medium,Low,Low,High,Low,High,Medium,High,Medium,High,Medium,High,High,Low,Low,Medium,Low,High,Medium,Medium,Low,Low,Low,Low,Medium,Medium,Medium,High,Low,Low,Medium,Medium,Medium,
33,Low,Low,Low,Low,Low,Low,High,Low,High,Medium,Low,High,Medium,Low,High,High,High,High,High,High,High,High,High,High,Medium,Low,High,Medium,High,High,Low,Medium,High,High,High,High,Medium,Low,
34,High,High,Medium,Medium,High,High,Low,Low,Low,Medium,Medium,Medium,High,Medium,High,High,Medium,High,Low,High,Medium,Medium,High,Low,Medium,Low,Medium,High,Low,Medium,High,Low,High,Medium,Low,Medium,Medium,Medium,
46,High,Medium,Medium,Medium,Low,Low,Low,Low,Medium,Medium,Low,Medium,Medium,High,Medium,Low,High,Medium,Low,High,Low,Medium,High,Low,High,High,High,Medium,High,High,Medium,Low,Medium,Medium,High,High,Medium,Medium,
47,Medium,High,High,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,High,High,High,High,High,High,High,Medium,Medium,Low,Low,Medium,High,Low,Medium,Medium,Low,Low,Medium,Medium,Medium,High,Medium,Low,High,Medium,Medium,
48,Medium,Medium,High,High,High,High,Low,Low,Low,Medium,Medium,Low,High,Medium,Medium,Medium,High,High,Low,Low,Medium,Medium,Low,Low,Medium,Low,High,Low,Low,Medium,High,Low,High,Low,Low,Medium,Medium,Medium,
62,Medium,Medium,Medium,Low,Medium,Low,High,Low,High,High,Low,High,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,Medium,Medium,High,Medium,Medium,High,High,Medium,Medium,
67,Medium,Medium,Low,Low,High,Medium,High,High,Medium,Medium,High,High,High,Medium,High,High,High,High,Medium,Low,Medium,Medium,Low,Low,Medium,Low,Medium,Low,Low,Medium,Medium,High,High,Low,Low,Medium,Medium,Medium,
69,High,Low,High,Medium,High,High,High,High,Low,High,High,High,Medium,Medium,High,Low,Medium,High,High,High,High,Medium,High,Low,Medium,Low,Medium,Medium,Low,Low,Medium,High,Medium,High,Low,High,Low,Medium,
70,Medium,High,High,Medium,Medium,Medium,Medium,High,High,Medium,Low,High,High,High,Medium,High,High,High,Low,High,High,High,Medium,Medium,High,High,High,High,High,Medium,Medium,Medium,High,Medium,High,Medium,Low,Medium,
76,High,Medium,High,High,Medium,High,High,Medium,High,High,High,High,High,Medium,High,Medium,Medium,High,Medium,Medium,High,Medium,Medium,High,High,Medium,High,High,High,High,High,High,High,High,High,High,Medium,Medium,
78,Low,Low,Low,Low,Low,Low,Medium,Medium,High,High,High,High,High,High,High,High,High,High,Medium,High,High,High,Medium,Medium,High,Medium,High,High,High,Medium,Low,High,High,High,High,Medium,Medium,Low,
82,Low,Low,High,Low,Low,Medium,High,Low,Medium,High,Low,High,High,Medium,High,Medium,High,High,Low,Low,High,Low,Medium,Low,Medium,Low,High,Low,Medium,Low,Low,Medium,High,Low,Low,Medium,Medium,Medium,
83,Medium,Medium,High,Medium,High,High,High,Medium,High,Medium,High,High,Medium,Low,Medium,Low,High,High,High,Medium,High,Low,Low,High,High,Low,Medium,Low,Low,Low,High,High,Medium,Medium,Low,High,Low,Medium,
84,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,High,Medium,Low,Medium,Low,Medium,Low,Low,Medium,High,High,Medium,High,Medium,High,High,High,Low,High,High,High,High,Medium,Medium,Low,High,High,Medium,High,Medium,
87,Medium,Medium,Medium,Low,Medium,Medium,High,High,High,Medium,High,High,High,Medium,High,Low,Medium,High,Medium,Medium,High,Medium,Low,Medium,High,Low,Medium,High,Low,High,Medium,High,High,Medium,Medium,Medium,Low,Medium,
88,High,Medium,High,High,High,High,Medium,Low,Low,Medium,Medium,High,High,Medium,High,High,High,High,Medium,High,High,Low,High,High,Medium,High,Medium,Medium,Medium,Low,High,Medium,High,High,Medium,Medium,Medium,Medium,
91,Low,Low,Low,Low,Low,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,High,High,Medium,High,Low,Low,Low,Medium,High,High,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,
100,Medium,Medium,Medium,Medium,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,High,High,Medium,Medium,High,High,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,
102,High,Medium,High,High,Medium,High,Medium,Low,Low,Low,Low,Low,High,Medium,Medium,Low,Medium,High,Low,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,High,Low,High,Medium,Medium,High,Medium,Medium,
103,Low,High,Low,Medium,Medium,Low,Medium,Medium,High,Low,Low,Medium,Medium,Medium,Low,Low,High,Medium,High,High,Medium,Medium,Low,Medium,High,Medium,High,High,Medium,Low,Low,Medium,Medium,Medium,Medium,High,Medium,Medium,
107,Low,Low,Medium,Low,Medium,Medium,Medium,High,High,High,Medium,High,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,High,High,Low,High,Medium,Medium,Medium,High,Low,Medium,
109,Medium,High,Medium,Medium,High,Low,Low,Low,High,Medium,High,Medium,High,High,Medium,Low,High,High,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Low,Low,
110,High,Medium,High,High,High,High,Low,Low,Low,Medium,High,High,High,Medium,High,High,High,High,Medium,Low,Medium,Low,High,High,Low,Medium,Low,High,Medium,Low,High,Medium,High,Medium,Medium,Medium,Low,Medium,
111,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Low,High,High,High,High,High,High,High,High,High,Medium,Medium,Low,Medium,High,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,
112,Medium,High,High,High,High,High,Medium,Medium,Medium,Medium,High,High,Medium,Low,Low,High,Medium,High,Medium,Low,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,High,Medium,Medium,Medium,Medium,Medium,Medium,
113,Low,Medium,Low,Low,Medium,Medium,Low,Low,Medium,Medium,Medium,Low,High,Medium,Medium,High,High,High,High,Low,Medium,Medium,Low,High,High,Medium,Medium,High,Medium,Medium,Low,Low,High,Medium,Medium,Medium,Medium,Medium,
114,Low,High,Low,Medium,High,Low,High,High,High,Medium,High,High,Medium,High,High,High,High,High,High,Medium,High,Medium,Medium,High,High,Medium,High,High,High,High,Medium,High,High,Medium,High,High,Medium,Medium,
116,High,Medium,Medium,High,High,High,High,High,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Low,High,Low,High,Medium,Low,Medium,Low,High,Medium,High,Medium,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,
117,High,High,High,High,High,High,High,High,Low,Medium,High,High,High,Low,High,High,High,High,High,High,High,Medium,High,High,Medium,Medium,Medium,Medium,Low,Low,High,High,High,High,Medium,Medium,Medium,Medium,
118,Low,Low,High,Medium,High,Medium,Low,Low,Low,Low,Medium,High,High,Low,Low,Medium,Medium,High,High,High,High,Medium,High,High,Medium,High,High,Low,Low,Low,Medium,Low,Medium,High,Medium,Medium,Medium,Medium,
119,High,High,High,High,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,High,Medium,Medium,Low,Medium,High,Medium,Medium,
120,Medium,Low,High,High,Low,High,High,Medium,Low,Low,Medium,High,High,High,High,Medium,High,High,High,Medium,High,Medium,High,High,Medium,Low,Low,Low,Low,Low,High,Medium,High,High,Low,Medium,Medium,Medium,
124,High,Medium,Low,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,Medium,High,High,Medium,High,High,Medium,Medium,Low,Medium,Medium,High,High,High,High,High,High,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,
127,Medium,Medium,High,High,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,High,Low,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,High,High,Low,Medium,Low,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,
129,Low,Medium,Low,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,High,Medium,High,High,High,High,High,Low,Low,Medium,Medium,Medium,Low,High,Medium,High,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Low,Medium,
132,High,Medium,Medium,Medium,High,Medium,High,High,Medium,Low,Medium,High,High,Low,High,Low,Low,High,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,
133,Medium,High,Low,Low,High,Medium,High,High,High,High,High,High,Medium,Medium,High,Medium,High,High,Low,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Low,
134,Medium,Low,High,High,Medium,Low,Medium,Low,Low,Low,Low,Medium,High,High,Low,Medium,High,High,High,High,High,High,High,High,High,Medium,High,Medium,High,High,Medium,Low,High,High,High,Medium,Low,Low,
135,Low,High,Low,Medium,Low,Medium,Medium,Medium,High,High,Medium,High,High,High,High,Low,High,Medium,Low,Low,Low,Low,Low,Low,Medium,Low,Medium,Medium,High,Low,Medium,High,High,Low,Low,High,Medium,Medium,
136,Medium,Low,Low,Medium,Medium,Low,High,High,High,Medium,High,High,Medium,Medium,High,Medium,High,High,High,Medium,Medium,Low,Medium,Medium,High,High,High,High,High,High,Low,High,Medium,Medium,High,High,Low,Medium,
141,Medium,Medium,High,High,High,Medium,High,Medium,Medium,High,High,High,Medium,High,High,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,High,Low,High,High,High,High,Medium,Medium,High,Medium,Medium,
142,Medium,Low,Medium,Low,Low,Low,High,Medium,High,Low,Low,Low,High,Medium,Low,Medium,High,High,Medium,High,High,High,Medium,Medium,Medium,High,Medium,High,High,High,Low,Low,High,High,High,Medium,Low,Medium,
143,High,Medium,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,High,High,Low,High,Low,High,High,Low,Low,High,Medium,Medium,Low,High,High,High,High,Medium,Medium,High,High,Medium,Low,High,High,Medium,Medium,
144,Low,Low,Medium,Medium,Medium,Low,Low,Low,Medium,Low,High,Medium,Medium,Low,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Low,Medium,High,Low,Medium,Medium,Low,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,
145,Medium,High,Medium,Medium,High,Medium,High,Medium,High,High,High,High,High,Medium,High,Medium,High,High,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,High,High,Medium,Medium,Medium,Medium,Medium,
