playerId,N1,N2,N3,N4,N5,N6,E1,E2,E3,E4,E5,E6,O1,O2,O3,O4,O5,O6,A1,A2,A3,A4,A5,A6,C1,C2,C3,C4,C5,C6,N,E,O,A,C,Internal,PowerfulOthers,Chance,
3,High,High,High,High,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,Low,Low,High,High,Low,High,High,High,High,Low,High,High,Low,Low,
9,High,Low,High,High,Low,High,Low,Low,Low,High,Low,High,High,Low,High,Low,High,High,Low,High,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,Low,Low,
17,High,Low,High,Low,High,High,High,High,Low,Low,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,High,Low,High,High,High,Low,High,Low,Low,
18,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low,High,Low,Low,
24,High,Low,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,High,High,High,Low,Low,
31,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,High,Low,Low,
33,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,Low,High,Low,High,High,Low,High,High,High,High,High,Low,Low,
34,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,Low,High,Low,High,Low,Low,High,Low,Low,Low,High,High,Low,Low,High,Low,High,High,Low,High,Low,High,
46,High,High,High,High,Low,Low,Low,Low,High,High,Low,High,Low,High,Low,Low,High,Low,Low,High,Low,Low,High,Low,High,High,High,High,High,High,Low,Low,High,Low,High,High,Low,Low,
47,Low,High,High,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,High,Low,Low,High,Low,Low,Low,High,Low,High,Low,Low,High,Low,High,
48,High,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,High,Low,Low,Low,Low,High,Low,Low,High,High,Low,High,Low,Low,High,High,High,
62,High,Low,Low,Low,Low,Low,High,Low,High,High,Low,High,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,Low,Low,
67,High,High,Low,Low,High,High,High,High,High,Low,High,High,High,Low,High,High,High,High,High,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,Low,Low,High,Low,Low,
69,High,Low,High,Low,High,High,High,High,Low,High,High,High,Low,High,High,Low,High,High,High,High,High,High,High,Low,Low,Low,High,High,Low,Low,High,High,High,High,Low,High,Low,Low,
70,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,
76,High,Low,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,
78,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,Low,Low,
