playerId,N1,N2,N3,N4,N5,N6,E1,E2,E3,E4,E5,E6,O1,O2,O3,O4,O5,O6,A1,A2,A3,A4,A5,A6,C1,C2,C3,C4,C5,C6,N,E,O,A,C,Internal,PowerfulOthers,Chance,ScoreSystem,gives,takes,who,what
3,High,High,Medium,High,Medium,Medium,High,Low,High,Low,High,High,Medium,High,High,High,High,High,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,High,High,Medium,High,Medium,Medium,High,Low,Medium,A,0.2857142857,3.714285714,1,4
3,High,High,Medium,High,Medium,Medium,High,Low,High,Low,High,High,Medium,High,High,High,High,High,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,High,High,Medium,High,Medium,Medium,High,Low,Medium,B,0.7142857143000001,3.285714286,3,6
3,High,High,Medium,High,Medium,Medium,High,Low,High,Low,High,High,Medium,High,High,High,High,High,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,High,High,Medium,High,Medium,Medium,High,Low,Medium,C,0.8571428570999999,3.142857143,2,3
3,High,High,Medium,High,Medium,Medium,High,Low,High,Low,High,High,Medium,High,High,High,High,High,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,High,High,Medium,High,Medium,Medium,High,Low,Medium,D,3.571428571,0.42857142859999997,1,4
9,High,Medium,Medium,High,Low,High,Low,Medium,Low,Medium,Low,High,High,Medium,Medium,Low,Medium,High,Medium,High,Medium,High,High,High,High,Medium,High,High,Low,High,Medium,Low,Medium,High,High,Medium,Medium,Medium,A,0.42857142859999997,3.571428571,1,5
9,High,Medium,Medium,High,Low,High,Low,Medium,Low,Medium,Low,High,High,Medium,Medium,Low,Medium,High,Medium,High,Medium,High,High,High,High,Medium,High,High,Low,High,Medium,Low,Medium,High,High,Medium,Medium,Medium,B,0.5714285714,3.428571429,2,1
9,High,Medium,Medium,High,Low,High,Low,Medium,Low,Medium,Low,High,High,Medium,Medium,Low,Medium,High,Medium,High,Medium,High,High,High,High,Medium,High,High,Low,High,Medium,Low,Medium,High,High,Medium,Medium,Medium,C,0.8571428570999999,3.142857143,3,1
9,High,Medium,Medium,High,Low,High,Low,Medium,Low,Medium,Low,High,High,Medium,Medium,Low,Medium,High,Medium,High,Medium,High,High,High,High,Medium,High,High,Low,High,Medium,Low,Medium,High,High,Medium,Medium,Medium,D,3.714285714,0.2857142857,7,1
17,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,High,High,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,A,0.14285714289999998,3.857142857,1,7
17,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,High,High,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,B,0.2857142857,3.714285714,1,5
17,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,High,High,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,C,1.142857143,2.857142857,4,6
17,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,High,High,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,D,3.857142857,0.14285714289999998,7,3
18,Medium,Medium,High,High,Medium,High,Low,Medium,Low,Low,Low,Low,Medium,Low,Low,Low,High,High,Medium,High,High,Medium,High,Medium,Low,Low,Medium,Low,Low,Low,High,Low,Medium,High,Low,Medium,Medium,Medium,A,0.7142857143000001,3.285714286,2,7
